phase,check_id,category,check_name,status,severity,expected,observed,safe_default,external_effect,blocked_capability,evidence,recommendation,timestamp_utc
Phase 513-516,RMENV-001,safety_gate,No IBKR connection,PASS,CRITICAL,capability_blocked_in_this_preflight,blocked_no_runtime_call_attempted,YES,NONE,IBKR_CONNECT,static_preflight_generation_only,keep_blocked_until_later_explicit_operator_approved_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-002,safety_gate,No market data request,PASS,CRITICAL,capability_blocked_in_this_preflight,blocked_no_runtime_call_attempted,YES,NONE,MARKET_DATA_REQUEST,static_preflight_generation_only,keep_blocked_until_later_explicit_operator_approved_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-003,safety_gate,No account read,PASS,CRITICAL,capability_blocked_in_this_preflight,blocked_no_runtime_call_attempted,YES,NONE,ACCOUNT_READ,static_preflight_generation_only,keep_blocked_until_later_explicit_operator_approved_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-004,safety_gate,No positions read,PASS,CRITICAL,capability_blocked_in_this_preflight,blocked_no_runtime_call_attempted,YES,NONE,POSITIONS_READ,static_preflight_generation_only,keep_blocked_until_later_explicit_operator_approved_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-005,safety_gate,No historical data request,PASS,CRITICAL,capability_blocked_in_this_preflight,blocked_no_runtime_call_attempted,YES,NONE,HISTORICAL_DATA_REQUEST,static_preflight_generation_only,keep_blocked_until_later_explicit_operator_approved_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-006,safety_gate,No contract qualification,PASS,CRITICAL,capability_blocked_in_this_preflight,blocked_no_runtime_call_attempted,YES,NONE,CONTRACT_QUALIFICATION,static_preflight_generation_only,keep_blocked_until_later_explicit_operator_approved_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-007,safety_gate,No orders submitted,PASS,CRITICAL,capability_blocked_in_this_preflight,blocked_no_runtime_call_attempted,YES,NONE,ORDER_SUBMISSION,static_preflight_generation_only,keep_blocked_until_later_explicit_operator_approved_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-008,safety_gate,No Telegram real send,PASS,CRITICAL,capability_blocked_in_this_preflight,blocked_no_runtime_call_attempted,YES,NONE,TELEGRAM_REAL_SEND,static_preflight_generation_only,keep_blocked_until_later_explicit_operator_approved_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-009,safety_gate,No network probe,PASS,CRITICAL,capability_blocked_in_this_preflight,blocked_no_runtime_call_attempted,YES,NONE,NETWORK_PROBE,static_preflight_generation_only,keep_blocked_until_later_explicit_operator_approved_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-010,configuration_readiness,Config file readability,PASS,MEDIUM,config_file_can_be_read_without_secret_output,present_redacted,YES,NONE,CONFIG_SECRET_OUTPUT,config_path_checked_only,keep_config_yaml_local_and_uncommitted,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-011,configuration_readiness,IBKR host configured,PASS,LOW,presence_only_redacted,present_redacted,YES,NONE,IBKR_CONNECT,ibkr.host_presence_checked_without_value,verify_value_manually_before_any_later_real_connection_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-012,configuration_readiness,IBKR port configured,PASS,LOW,presence_only_redacted,present_redacted,YES,NONE,IBKR_CONNECT,ibkr.port_presence_checked_without_value,verify_value_manually_before_any_later_real_connection_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-013,configuration_readiness,IBKR client id configured,PASS,LOW,presence_only_redacted,present_redacted,YES,NONE,IBKR_CONNECT,ibkr.client_id_presence_checked_without_value,verify_value_manually_before_any_later_real_connection_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-014,configuration_readiness,Telegram config presence,WARN,MEDIUM,presence_only_no_token_read_or_output,section_missing,YES,NONE,TELEGRAM_REAL_SEND,telegram_section_shape_checked_without_secret_values,keep_real_send_disabled_until_explicit_manual_send_phase,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-015,mode,Preflight mode is artifact-only,PASS,CRITICAL,artifact_generation_only,csv_and_markdown_only,YES,NONE,NETWORK_PROBE,main_cli_branch_does_not_call_ibkr_or_telegram_clients,do_not_chain_to_real_market_commands,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-016,freeze_state,Post-MVP freeze state unchanged,PASS,HIGH,POST_MVP_MULTI_MARKET_FREEZE_READY_not_rewritten,preflight_reports_readiness_only_not_production_ready,YES,NONE,PRODUCTION_READY_RECLASSIFICATION,final_decision_NO_GO_next_phase_candidate_only,do_not_label_this_phase_as_real_market_ready_or_production_ready,2026-05-26T01:27:55+00:00
Phase 513-516,RMENV-017,configuration_readiness,Runtime section presence,PASS,LOW,runtime_section_presence_only,section_present_redacted,YES,NONE,AUTO_RUNTIME_CHAIN,runtime_section_shape_checked_without_values,confirm_no_auto_chain_before_later_phase,2026-05-26T01:27:55+00:00
