phase,gate_id,gate_name,category,required_state,observed_state,result,severity,fail_closed,blocks,approval_required,operator_action_required,external_effect,evidence,recommendation,timestamp_utc
Phase 517-520,IBKR-PERM-000,Final connection permission decision,final_decision,manual_operator_approval_before_any_real_connection,approval_not_present_connection_denied,DENIED,CRITICAL,YES,IBKR_CONNECTION,YES,YES,NONE,artifact_only_permission_packet_generated,treat_DENIED_as_safe_default_not_failure,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-001,No IBKR or TWS Gateway connection,prohibited_action,blocked_for_phase_517_520,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,IBKR_CONNECTION,YES,YES,NONE,static_permission_gate_generation_only,keep_blocked_until_separate_explicit_operator_approved_phase,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-002,No market data request,prohibited_action,blocked_for_phase_517_520,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,MARKET_DATA_REQUEST,YES,YES,NONE,static_permission_gate_generation_only,keep_blocked_until_separate_explicit_operator_approved_phase,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-003,No account read,prohibited_action,blocked_for_phase_517_520,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,ACCOUNT_READ,YES,YES,NONE,static_permission_gate_generation_only,keep_blocked_until_separate_explicit_operator_approved_phase,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-004,No positions read,prohibited_action,blocked_for_phase_517_520,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,POSITIONS_READ,YES,YES,NONE,static_permission_gate_generation_only,keep_blocked_until_separate_explicit_operator_approved_phase,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-005,No historical data request,prohibited_action,blocked_for_phase_517_520,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,HISTORICAL_DATA_REQUEST,YES,YES,NONE,static_permission_gate_generation_only,keep_blocked_until_separate_explicit_operator_approved_phase,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-006,No contract qualification,prohibited_action,blocked_for_phase_517_520,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,CONTRACT_QUALIFICATION,YES,YES,NONE,static_permission_gate_generation_only,keep_blocked_until_separate_explicit_operator_approved_phase,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-007,No order submission,prohibited_action,blocked_for_phase_517_520,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,ORDER_SUBMISSION,YES,YES,NONE,static_permission_gate_generation_only,keep_blocked_until_separate_explicit_operator_approved_phase,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-008,No order cancellation,prohibited_action,blocked_for_phase_517_520,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,ORDER_CANCELLATION,YES,YES,NONE,static_permission_gate_generation_only,keep_blocked_until_separate_explicit_operator_approved_phase,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-009,No rebalance action,prohibited_action,blocked_for_phase_517_520,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,REBALANCE_ACTION,YES,YES,NONE,static_permission_gate_generation_only,keep_blocked_until_separate_explicit_operator_approved_phase,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-010,No Telegram real send,prohibited_action,blocked_for_phase_517_520,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,TELEGRAM_REAL_SEND,YES,YES,NONE,static_permission_gate_generation_only,keep_blocked_until_separate_explicit_operator_approved_phase,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-011,No network probe,prohibited_action,blocked_for_phase_517_520,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,NETWORK_PROBE,YES,YES,NONE,static_permission_gate_generation_only,keep_blocked_until_separate_explicit_operator_approved_phase,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-012,Operator approval packet requirement,operator_approval,approval_packet_reviewed_and_signed_in_later_phase,approval_required_not_granted_in_this_phase,PASS,CRITICAL,YES,IBKR_CONNECTION,YES,YES,NONE,connection_permission_decision_DENIED,collect_explicit_operator_approval_before_any_later_connection_candidate,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-013,Connection preconditions are candidate-only,connection_precondition,candidate_only_no_real_connection_allowed,next_phase_connection_candidate_only,PASS,HIGH,YES,REAL_CONNECTION_AUTHORIZATION,YES,YES,NONE,connection_allowed_NO_next_phase_connection_candidate_YES,next_phase_may_review_connection_candidate_but_must_not_infer_GO,2026-05-26T02:04:52+00:00
Phase 517-520,IBKR-PERM-014,Freeze and readiness labels remain unchanged,state_label_guard,do_not_reclassify_freeze_or_preflight_status,freeze_and_preflight_labels_preserved,PASS,HIGH,YES,PRODUCTION_READY_RECLASSIFICATION,NO,NO,NONE,POST_MVP_MULTI_MARKET_FREEZE_READY_and_REAL_MARKET_ENV_READINESS_PREFLIGHT_READY_not_rewritten,do_not_label_this_phase_as_production_ready_or_real_market_data_verified,2026-05-26T02:04:52+00:00
