phase,step_id,step_name,category,required_operator_check,expected_state,observed_state,status,severity,manual_only,external_effect,blocked_capability,operator_action_required,failure_mode,rollback_action,evidence,recommendation,timestamp_utc
Phase 521-524,IBKR-RUNBOOK-000,Final runbook decision,final_decision,confirm_this_phase_is_runbook_only,runbook_ready_connection_not_allowed,runbook_ready_no_connection_authorization,IBKR_CONNECTION_OPERATOR_RUNBOOK_READY,CRITICAL,YES,NONE,IBKR_CONNECTION,YES,operator_misreads_runbook_as_connection_approval,stop_before_any_external_command_and_reconfirm_manual_authorization,artifact_only_operator_runbook_generated,use_this_packet_only_as_preparation_for_a_future_separately_authorized_connect_only_dry_run,2026-05-26T02:40:37+00:00
Phase 521-524,IBKR-RUNBOOK-001,Confirm local TWS or IB Gateway responsibility,operator_runbook,operator_confirms_local_app_state_manually_without_probe,manual_check_only_no_network_probe,no_probe_performed,PASS,HIGH,YES,NONE,NETWORK_PROBE,YES,local_app_not_ready_or_wrong_session,do_not_attempt_connection_close_or_leave_local_app_unchanged,runbook_step_only,future_phase_must_require_manual_confirmation_before_any_connect_only_attempt,2026-05-26T02:40:37+00:00
Phase 521-524,IBKR-RUNBOOK-002,Confirm read-only intent,operator_runbook,operator_confirms_connect_only_no_market_or_account_requests,connect_only_scope_documented_for_future_phase,no_connect_command_present,PASS,CRITICAL,YES,NONE,MARKET_DATA_ACCOUNT_POSITIONS_HISTORICAL_CONTRACTS_TRADING,YES,scope_expands_beyond_connect_only,abort_future_attempt_and_return_to_permission_gate_review,no_execute_path_in_this_phase,future_dry_run_must_stop_after_connect_disconnect_metadata_only_if_authorized,2026-05-26T02:40:37+00:00
Phase 521-524,IBKR-RUNBOOK-003,Confirm no secrets in artifacts,local_checklist,operator_reviews_outputs_for_no_secret_token_or_account_id,no_secret_or_account_value_written,status_fields_only_no_secret_values,PASS,CRITICAL,YES,NONE,SECRET_OR_ACCOUNT_ID_DISCLOSURE,YES,secret_or_account_identifier_written_to_artifact,delete_uncommitted_artifact_and_regenerate_after_redaction_fix,artifact_schema_contains_status_and_check_fields_only,keep_secret_material_out_of_csv_markdown_stdout_and_commit_history,2026-05-26T02:40:37+00:00
Phase 521-524,IBKR-RUNBOOK-004,Confirm config remains untouched,local_checklist,operator_keeps_config_yaml_unmodified_by_this_phase,config_yaml_not_modified_by_generator,generator_does_not_read_or_write_runtime_config,PASS,HIGH,YES,NONE,CONFIG_MUTATION,YES,configuration_changed_during_runbook_generation,restore_unintended_config_change_before_commit,module_uses_static_artifact_generation_only,do_not_commit_config_yaml,2026-05-26T02:40:37+00:00
Phase 521-524,IBKR-RUNBOOK-005,Connection precondition packet,connection_preconditions,operator_collects_future_explicit_authorization_before_connect_only_dry_run,approval_required_and_not_granted_here,connection_allowed_NO,PASS,CRITICAL,YES,NONE,IBKR_CONNECTION,YES,future_connection_attempt_without_explicit_user_authorization,stop_process_and_request_explicit_connect_only_authorization,operator_approval_required_YES_connection_allowed_NO,next_phase_may_be_connect_dry_run_candidate_only_after_manual_approval,2026-05-26T02:40:37+00:00
Phase 521-524,IBKR-RUNBOOK-006,No external capability execution,explicitly_prohibited_actions,confirm_no_ibkr_market_account_positions_historical_contract_order_telegram_or_probe_action,all_external_actions_blocked,all_external_attempt_flags_NO,PASS,CRITICAL,YES,NONE,ALL_EXTERNAL_ACTIONS,YES,any_external_side_effect_detected,stop_and_remove_uncommitted_runtime_artifacts_then_review_code_path,external_effect_NONE_for_all_rows,treat_any_external_call_as_phase_failure,2026-05-26T02:40:37+00:00
Phase 521-524,IBKR-RUNBOOK-007,Failure mode catalog,failure_modes,operator_reviews_expected_failure_paths_before_future_attempt,known_failures_have_manual_stop_actions,failure_modes_documented_without_execution,PASS,HIGH,YES,NONE,UNCONTROLLED_RETRY,YES,connection_refused_timeout_wrong_port_wrong_client_id_or_session_locked,do_not_retry_automatically_capture_manual_note_and_return_to_no_go_state,failure_mode_and_rollback_columns_populated,future_phase_must_fail_closed_without_auto_retry_or_escalation,2026-05-26T02:40:37+00:00
Phase 521-524,IBKR-RUNBOOK-008,Rollback checklist,rollback_actions,operator_confirms_manual_rollback_path_before_future_attempt,rollback_is_stop_only_no_cleanup_of_external_state,rollback_actions_documented,PASS,HIGH,YES,NONE,STATEFUL_EXTERNAL_RECOVERY,YES,operator_attempts_to_fix_by_running_more_external_commands,stop_do_not_retry_do_not_request_data_do_not_send_notifications,rollback_actions_are_artifact_only,future_phase_should_write_local_failure_artifact_only_if_authorized,2026-05-26T02:40:37+00:00
Phase 521-524,IBKR-RUNBOOK-009,State label guard,state_label_guard,operator_confirms_prior_labels_are_not_reclassified,freeze_preflight_permission_labels_preserved,no_production_ready_no_real_market_verified_no_connection_approved,PASS,HIGH,YES,NONE,STATUS_RECLASSIFICATION,NO,runbook_status_rewritten_as_operational_approval,revert_misleading_artifact_text_before_commit,POST_MVP_MULTI_MARKET_FREEZE_READY_REAL_MARKET_ENV_READINESS_PREFLIGHT_READY_IBKR_CONNECTION_PERMISSION_GATE_READY_preserved,do_not_treat_ready_labels_as_external_action_permission,2026-05-26T02:40:37+00:00
